year,event,driver,in_lap,pit_loss_s
2022,Bahrain Grand Prix,ALB,13,24.211
2022,Bahrain Grand Prix,ALB,35,25.66
2022,Bahrain Grand Prix,ALO,11,24.7
2022,Bahrain Grand Prix,ALO,25,24.14
2022,Bahrain Grand Prix,ALO,42,20.673
2022,Bahrain Grand Prix,BOT,14,24.892
2022,Bahrain Grand Prix,BOT,36,21.685
2022,Bahrain Grand Prix,GAS,14,26.293
2022,Bahrain Grand Prix,GAS,32,24.004
2022,Bahrain Grand Prix,HAM,11,29.881
2022,Bahrain Grand Prix,HAM,27,26.181
2022,Bahrain Grand Prix,HUL,19,27.637
2022,Bahrain Grand Prix,HUL,37,24.533
2022,Bahrain Grand Prix,LAT,14,21.57
2022,Bahrain Grand Prix,LAT,32,25.618
2022,Bahrain Grand Prix,LEC,15,24.197
2022,Bahrain Grand Prix,LEC,31,22.366
2022,Bahrain Grand Prix,MAG,14,25.83
2022,Bahrain Grand Prix,MAG,34,25.453
2022,Bahrain Grand Prix,MSC,12,24.306
2022,Bahrain Grand Prix,MSC,35,21.136
2022,Bahrain Grand Prix,NOR,24,24.588
2022,Bahrain Grand Prix,NOR,41,19.55
2022,Bahrain Grand Prix,OCO,14,31.222
2022,Bahrain Grand Prix,OCO,30,24.95
2022,Bahrain Grand Prix,OCO,43,19.919
2022,Bahrain Grand Prix,PER,15,24.993
2022,Bahrain Grand Prix,PER,33,22.614
2022,Bahrain Grand Prix,PER,43,20.439
2022,Bahrain Grand Prix,RIC,17,25.017
2022,Bahrain Grand Prix,RIC,33,24.955
2022,Bahrain Grand Prix,RUS,15,27.675
2022,Bahrain Grand Prix,RUS,33,23.676
2022,Bahrain Grand Prix,SAI,14,24.872
2022,Bahrain Grand Prix,SAI,33,22.532
2022,Bahrain Grand Prix,STR,18,24.145
2022,Bahrain Grand Prix,STR,38,24.519
2022,Bahrain Grand Prix,TSU,15,27.313
2022,Bahrain Grand Prix,TSU,29,23.652
2022,Bahrain Grand Prix,VER,14,23.181
2022,Bahrain Grand Prix,VER,30,22.498
2022,Bahrain Grand Prix,VER,43,20.751
2022,Bahrain Grand Prix,ZHO,15,25.2
2022,Bahrain Grand Prix,ZHO,37,23.103
2022,Saudi Arabian Grand Prix,ALB,13,23.751
2022,Saudi Arabian Grand Prix,BOT,35,41.159
2022,Saudi Arabian Grand Prix,RIC,8,22.514
2022,Saudi Arabian Grand Prix,STR,13,25.674
2022,Saudi Arabian Grand Prix,ZHO,27,14.55
2022,Australian Grand Prix,ALB,57,16.483
2022,Australian Grand Prix,ALO,53,24.087
2022,Australian Grand Prix,GAS,21,21.741
2022,Australian Grand Prix,LAT,13,27.046
2022,Australian Grand Prix,MSC,14,24.302
2022,Australian Grand Prix,NOR,20,20.384
2022,Australian Grand Prix,OCO,17,22.997
2022,Australian Grand Prix,PER,20,25.164
2022,Australian Grand Prix,RIC,21,22.457
2022,Australian Grand Prix,TSU,18,21.776
2022,Australian Grand Prix,VER,18,21.043
2022,Australian Grand Prix,ZHO,21,23.002
2022,Emilia Romagna Grand Prix,ALB,17,50.566
2022,Emilia Romagna Grand Prix,BOT,18,59.791
2022,Emilia Romagna Grand Prix,GAS,17,50.586
2022,Emilia Romagna Grand Prix,HAM,18,55.877
2022,Emilia Romagna Grand Prix,LAT,18,54.531
2022,Emilia Romagna Grand Prix,LEC,19,48.963
2022,Emilia Romagna Grand Prix,LEC,49,29.126
2022,Emilia Romagna Grand Prix,LEC,53,44.384
2022,Emilia Romagna Grand Prix,MAG,18,57.059
2022,Emilia Romagna Grand Prix,MSC,18,54.829
2022,Emilia Romagna Grand Prix,MSC,52,27.373
2022,Emilia Romagna Grand Prix,NOR,19,47.206
2022,Emilia Romagna Grand Prix,OCO,18,52.659
2022,Emilia Romagna Grand Prix,PER,18,51.603
2022,Emilia Romagna Grand Prix,PER,50,28.555
2022,Emilia Romagna Grand Prix,RIC,16,52.903
2022,Emilia Romagna Grand Prix,RIC,30,32.505
2022,Emilia Romagna Grand Prix,RUS,18,50.008
2022,Emilia Romagna Grand Prix,STR,18,52.874
2022,Emilia Romagna Grand Prix,TSU,18,54.218
2022,Emilia Romagna Grand Prix,VER,19,48.42
2022,Emilia Romagna Grand Prix,VER,51,28.33
2022,Emilia Romagna Grand Prix,VET,17,52.093
2022,Emilia Romagna Grand Prix,ZHO,18,56.41
2022,Miami Grand Prix,ALB,16,22.487
2022,Miami Grand Prix,ALO,15,24.393
2022,Miami Grand Prix,BOT,26,20.768
2022,Miami Grand Prix,GAS,16,20.523
2022,Miami Grand Prix,HAM,22,20.304
2022,Miami Grand Prix,LAT,34,21.758
2022,Miami Grand Prix,LEC,24,23.647
2022,Miami Grand Prix,MAG,12,21.55
2022,Miami Grand Prix,MSC,14,23.019
2022,Miami Grand Prix,MSC,54,42.716
2022,Miami Grand Prix,NOR,18,23.93
2022,Miami Grand Prix,PER,27,20.271
2022,Miami Grand Prix,RIC,30,21.706
2022,Miami Grand Prix,SAI,27,24.032
2022,Miami Grand Prix,TSU,11,20.971
2022,Miami Grand Prix,VER,26,20.002
2022,Spanish Grand Prix,ALB,11,22.76
2022,Spanish Grand Prix,ALB,25,23.07
2022,Spanish Grand Prix,ALB,45,23.586
2022,Spanish Grand Prix,ALB,54,23.77
2022,Spanish Grand Prix,ALO,10,24.744
2022,Spanish Grand Prix,ALO,31,22.427
2022,Spanish Grand Prix,ALO,53,23.225
2022,Spanish Grand Prix,BOT,14,24.053
2022,Spanish Grand Prix,BOT,34,21.318
2022,Spanish Grand Prix,GAS,10,24.114
2022,Spanish Grand Prix,GAS,29,28.233
2022,Spanish Grand Prix,GAS,46,21.205
2022,Spanish Grand Prix,HAM,1,55.557
2022,Spanish Grand Prix,HAM,22,25.633
2022,Spanish Grand Prix,HAM,48,19.518
2022,Spanish Grand Prix,LAT,12,24.039
2022,Spanish Grand Prix,LAT,26,22.584
2022,Spanish Grand Prix,LAT,50,22.707
2022,Spanish Grand Prix,LEC,21,22.745
2022,Spanish Grand Prix,MAG,29,29.706
2022,Spanish Grand Prix,MSC,12,24.542
2022,Spanish Grand Prix,MSC,30,21.762
2022,Spanish Grand Prix,NOR,12,21.981
2022,Spanish Grand Prix,NOR,33,24.241
2022,Spanish Grand Prix,NOR,51,18.431
2022,Spanish Grand Prix,OCO,13,22.833
2022,Spanish Grand Prix,OCO,35,22.217
2022,Spanish Grand Prix,OCO,52,18.987
2022,Spanish Grand Prix,PER,17,22.92
2022,Spanish Grand Prix,PER,37,21.394
2022,Spanish Grand Prix,PER,53,21.181
2022,Spanish Grand Prix,RIC,11,25.095
2022,Spanish Grand Prix,RIC,31,23.15
2022,Spanish Grand Prix,RIC,48,21.286
2022,Spanish Grand Prix,RUS,13,21.712
2022,Spanish Grand Prix,RUS,36,21.08
2022,Spanish Grand Prix,RUS,51,18.333
2022,Spanish Grand Prix,SAI,10,24.561
